algo,label,dag,seed,in_paper_seeds,app_timeout_rate,delay_all,delay_succ,UtilityScore_all,UtilityScore_succ,_Util_std,_Util_maxmin,_AppTO_std,_D_all_std
CPGAPPO,CPGAPPO,chain,1,True,0.08,1.366494791892745,1.3849935436686929,0.5458416893504155,0.5452121579284706,,,,
CPGAPPO,CPGAPPO,chain,3,True,0.1466666666666666,1.5080683997664786,1.565145332999731,0.179047034673884,0.17636901156124765,,,,
CPGAPPO,CPGAPPO,chain,5,False,0.1333333333333333,1.4713037382745473,1.5085317923319828,0.26323811859623986,0.26155862329361146,,,,
CPGAPPO,CPGAPPO,chain,7,False,0.0066666666666666,1.210953128149029,1.2171335860729176,0.6991212070482304,0.6989680920217396,,,,
CPGAPPO,CPGAPPO,chain,42,True,0.0,1.2255684414303558,1.2263869338821174,0.6996270588882028,0.6996068132496819,,,,
CPGAPPO,CPGAPPO,default,1,True,0.08,1.2441911896759976,1.267297526549228,0.5546790369902128,0.5539034957953288,,,,
CPGAPPO,CPGAPPO,default,3,True,0.1466666666666666,1.3052789668470597,1.3619124571298178,0.19475320597282145,0.192112002299939,,,,
CPGAPPO,CPGAPPO,default,5,False,0.14,1.252336058506682,1.2852135191260712,0.23546155935498633,0.23395640967923784,,,,
CPGAPPO,CPGAPPO,default,7,False,0.0266666666666666,1.086553708245282,1.0986695957653556,0.6893362366336705,0.6890280399519476,,,,
CPGAPPO,CPGAPPO,default,42,True,0.04,1.0843035367803349,1.0948936067430164,0.6659563110864641,0.6656706807064982,,,,
CPGAPPO,CPGAPPO,wide,1,True,0.0,0.3976029002786291,0.3942669383084835,0.7537417757532517,0.7537417757532517,,,,
CPGAPPO,CPGAPPO,wide,3,True,0.0466666666666666,0.4670050639956375,0.4777075959934563,0.7036219495467009,0.7036219495467009,,,,
CPGAPPO,CPGAPPO,wide,5,False,0.0666666666666666,0.5060032289205577,0.4587600903767441,0.6530617726638916,0.6530617726638916,,,,
CPGAPPO,CPGAPPO,wide,7,False,0.0,0.4002064596683412,0.4015671556755403,0.7560391696891491,0.7560391696891491,,,,
CPGAPPO,CPGAPPO,wide,42,True,0.02,0.4260204966074966,0.4245079006700329,0.7422793221009865,0.7422793221009865,,,,
CPGAPPO,CPGAPPO,chain,"MEAN(1,3,5,7,42)",,0.0733333333333333,1.3564776999026311,1.3804382377910882,0.4773750217113945,0.4763429396109502,0.24398218400319424,0.5205800242143188,6.863753427324666,0.136546454039613
CPGAPPO,CPGAPPO,default,"MEAN(1,3,5,7,42)",,0.08666666666666664,1.1945326920110713,1.221597341062698,0.468037270007631,0.4669341256865903,0.23686895959482868,0.4945830306608491,5.537749241945384,0.10232529080900042
CPGAPPO,CPGAPPO,wide,"MEAN(1,3,5,7,42)",,0.026666666666666637,0.43936762989413247,0.4313619362048514,0.7217487979507959,0.7217487979507959,0.04378176766741296,0.10297739702525743,2.9439202887759457,0.04653000827854614
