algo,label,kind,dag,n,AppTO_mean_pct,AppTO_std_pct,D_succ_mean,D_succ_std,D_all_mean,D_all_std,E_mean,E_std,Util_succ_mean,Util_succ_std,Util_all_mean,Util_all_std
CPGAPPO,CPGAPPO,research,chain,5,7.33333333333333,6.863753427324666,1.3804382377910884,0.15885971331321022,1.3564776999026311,0.136546454039613,0.20793550525940666,0.014142947087212155,0.4763429396109502,0.24508587527397402,0.4773750217113945,0.24398218400319424
CPGAPPO,CPGAPPO,research,default,5,8.666666666666664,5.537749241945384,1.2215973410626977,0.11936176493779749,1.1945326920110713,0.10232529080900042,0.20550963808398487,0.01200483699006364,0.4669341256865903,0.23779792474428255,0.468037270007631,0.23686895959482868
CPGAPPO,CPGAPPO,research,wide,5,2.666666666666664,2.9439202887759457,0.4313619362048514,0.03608782568991175,0.4393676298941324,0.04653000827854614,0.12595348472931414,0.007490434042801373,0.7217487979507959,0.04378176766741296,0.7217487979507959,0.04378176766741296
DGMA_adapt,DGMA_adapt,ext_rl,chain,5,12.666666666666668,6.4635731432217725,1.4035312536139806,0.15498425172061003,1.3643909491454334,0.12796618532148096,0.20860456910151942,0.012568686191932415,0.2586559208280338,0.3570576601482186,0.26039196814412446,0.3556455760337375
DGMA_adapt,DGMA_adapt,ext_rl,default,5,13.73333333333333,5.448751131120679,1.2412880280674716,0.10818841523370078,1.2032257516314122,0.08621925197882495,0.20537980473757358,0.012360568583001321,0.22293781658884532,0.30330473826426224,0.22467318895157867,0.3022672979472487
DGMA_adapt,DGMA_adapt,ext_rl,wide,5,5.066666666666667,5.366563145999496,0.4494792183275947,0.039076835874897936,0.44912583699672937,0.04075134362927533,0.1269295704723697,0.00657668420822866,0.6440836635247438,0.15416733372303948,0.6440836635247438,0.15416733372303948
DGMA_paper,DGMA_paper,ext_rl,chain,5,70.13333333333333,13.665853634352867,1.4526047813241263,0.1454211103645118,1.5549957853965704,0.0493319928807069,0.344706815982283,0.03151594871199576,-0.6603680608353063,0.05841883683703181,-0.6631252182830274,0.05844323840607959
DGMA_paper,DGMA_paper,ext_rl,default,5,70.66666666666666,13.872434697789874,1.2455252915834412,0.10298071500974051,1.3668436899050722,0.04442608823218779,0.3309486816707729,0.03471086921426308,-0.6536969519258513,0.058082176660344015,-0.6569318477069527,0.05867502030650584
DGMA_paper,DGMA_paper,ext_rl,wide,5,61.06666666666668,16.71060873949374,0.39976275900968694,0.0472333718253546,0.5050468995791056,0.01264558715499811,0.20975797466024595,0.027032438975581902,-0.5745264153667671,0.07962303672158091,-0.5745264153667671,0.07962303672158091
TransEdgeStyle,TransEdgeStyle,ext_rl,chain,5,14.266666666666666,6.8084914302329524,1.4085553736781353,0.14562377679342403,1.373012406550909,0.1255910968012557,0.20696340670897556,0.012729336054778027,0.17710035909017666,0.39753552164548794,0.17860667021301957,0.3965744563697634
TransEdgeStyle,TransEdgeStyle,ext_rl,default,5,14.666666666666668,6.110100926607787,1.248840409884615,0.11568465156622337,1.2101362714326154,0.09453124712260325,0.20581312468497578,0.011424691591215577,0.16579799057672934,0.3613808828888827,0.16754687699721843,0.3602793453968464
TransEdgeStyle,TransEdgeStyle,ext_rl,wide,5,6.0,5.120763831912406,0.4433325199885772,0.023698481563721556,0.45707490133395073,0.038648741464519576,0.1268768582488849,0.007066223623086095,0.6251200543258848,0.16754852152745572,0.6251200543258848,0.16754852152745572
GATDQN,GATDQN,ext_rl,chain,5,24.133333333333333,15.270887335056859,1.423001642780481,0.1254179846383879,1.4241798499497826,0.11063492226068768,0.235262534557562,0.037638932526883606,-0.11278576166384632,0.4831539501247013,-0.11279237138683613,0.48330370220962654
GATDQN,GATDQN,ext_rl,default,5,25.06666666666667,15.23592246414156,1.2589728754619014,0.1163201870531256,1.240146263615523,0.09764928802399336,0.22391617211567055,0.04168971803402453,-0.1670556968247836,0.39488511783091207,-0.16628900052826429,0.3950498530257426
GATDQN,GATDQN,ext_rl,wide,5,11.866666666666667,12.555653883587444,0.4077282714440704,0.029612052968137372,0.4560174293889516,0.040399076321242185,0.13987330164242776,0.03436016466247542,0.36487760884177733,0.5047503732728258,0.36487760884177733,0.5047503732728258
PPO,PPO,ext_rl,chain,5,60.4,28.05391634375176,1.0975173201596025,0.28929646077240684,1.4672589947718206,0.12459038038447103,0.23768319399818214,0.07531347543636153,-0.5784957803169929,0.14705998731731784,-0.5879700552170528,0.15156693489859716
PPO,PPO,ext_rl,default,5,83.46666666666665,14.200156493660359,1.0515822968399253,0.1865537624948692,1.3767610217814377,0.047901664429126405,0.17286088375125236,0.04967064199569171,-0.6838030997261565,0.0487334619907498,-0.691944672336483,0.049259476638111414
PPO,PPO,ext_rl,wide,5,65.2,27.257618710697706,0.3725034586022832,0.05484740968861763,0.5124106343456774,0.016487397932512436,0.13419714987252615,0.06564793656121706,-0.5142026792957421,0.2972124669156346,-0.5142026792957421,0.2972124669156346
HybridPSOGA,HybridPSOGA,heuristic,chain,5,9.066666666666666,10.807404868885037,1.3619640847981607,0.2793496809631618,1.3192321635082838,0.22876156232614006,0.2216573135420477,0.014123450612731509,0.32749046123350467,0.5058744350368112,0.3293540120030928,0.5035528771009671
