algo,label,kind,dag,n,AppTO_mean_pct,AppTO_std_pct,D_succ_mean,D_succ_std,D_all_mean,D_all_std,E_mean,E_std,Util_succ_mean,Util_succ_std,Util_all_mean,Util_all_std
CPGAPPO,CPGAPPO,research,chain,5,7.33333333333333,6.863753427324666,1.3804382377910884,0.15885971331321022,1.3564776999026311,0.136546454039613,0.20793550525940666,0.014142947087212155,0.4763429396109502,0.24508587527397402,0.4773750217113945,0.24398218400319424
CPGAPPO,CPGAPPO,research,default,5,8.666666666666664,5.537749241945384,1.2215973410626977,0.11936176493779749,1.1945326920110713,0.10232529080900042,0.20550963808398487,0.01200483699006364,0.4669341256865903,0.23779792474428255,0.468037270007631,0.23686895959482868
CPGAPPO,CPGAPPO,research,wide,5,2.666666666666664,2.9439202887759457,0.4313619362048514,0.03608782568991175,0.4393676298941324,0.04653000827854614,0.12595348472931414,0.007490434042801373,0.7217487979507959,0.04378176766741296,0.7217487979507959,0.04378176766741296
noguidece,noguidece,ablation,chain,5,10.266666666666662,5.6292884886892125,1.388602754493721,0.154504984348406,1.355031125908451,0.131390027758515,0.20660300673216403,0.013406976226376491,0.3866839413688196,0.26566658065039067,0.3881367999692669,0.264444218903362
noguidece,noguidece,ablation,default,5,10.399999999999993,5.688194402053745,1.2212931176814226,0.12021858903673048,1.194130202262687,0.10724668928354868,0.20510101578583076,0.013097338000377516,0.39255165334721537,0.2749252217548073,0.39369544592546835,0.274175331296173
noguidece,noguidece,ablation,wide,5,2.93333333333333,2.6915505650915104,0.4386557877289506,0.03595808352734901,0.44587383695956645,0.04249720685480543,0.12559904935111346,0.00772949805349089,0.7198226727557195,0.041708092647458825,0.7198226727557195,0.041708092647458825
noshield,noshield,ablation,chain,5,10.399999999999995,5.8423739467217715,1.3935159947058895,0.15559638897627476,1.3620818242604351,0.13539266950746673,0.20921086177711254,0.014298392177372452,0.3744914719508399,0.26919679748792247,0.3758515000184436,0.26806934715556247
noshield,noshield,ablation,default,5,10.799999999999994,5.444671197092114,1.2403944976787689,0.12473306546870733,1.2053455333844423,0.10306043169698241,0.20684113589120354,0.012142102520277434,0.3770139657635629,0.2826009530958404,0.37851763965555624,0.2815327376311831
noshield,noshield,ablation,wide,5,4.666666666666664,5.333333333333333,0.44327008598042134,0.03884617120342098,0.4487879725141416,0.04346644010352569,0.1265151791809717,0.006273590011660279,0.6533431696578682,0.1674071845691433,0.6533431696578682,0.1674071845691433
noappcredit,noappcredit,ablation,chain,5,8.933333333333328,6.047956496022256,1.3794889963615298,0.157984433744233,1.3470858481784447,0.1355518514575964,0.206872181768519,0.01381201431478545,0.43535671785841146,0.25384966059941005,0.43673248900209727,0.2526473059263845
noappcredit,noappcredit,ablation,default,5,9.733333333333329,5.992588014465128,1.2185355292352524,0.12937693284518464,1.185223804850927,0.1054666524893491,0.20503095436284108,0.012425516716908927,0.41278575283373337,0.2562787280136843,0.4142257290479943,0.255098532118002
noappcredit,noappcredit,ablation,wide,5,3.1999999999999984,4.407065034943576,0.4367129237060502,0.044758696127104584,0.4388136383174426,0.04865468405233513,0.12515844293104517,0.0068656687271162545,0.6967229580255099,0.09567887663960302,0.6967229580255099,0.09567887663960302
nocp,nocp,ablation,chain,5,9.599999999999998,6.473879139365448,1.389835180415784,0.15904475341698757,1.3549904224386458,0.1339512810741958,0.20716549474129947,0.01326683657368625,0.40201467817215797,0.30062444933929755,0.40351332601238576,0.299218185559029
nocp,nocp,ablation,default,5,10.799999999999994,5.645056834671082,1.238800307951423,0.11302246232302143,1.2039050239443279,0.09228453611621208,0.20483447318034215,0.011446695038556552,0.37026555697469793,0.26460296884100754,0.3717809302949373,0.2635253693410566
nocp,nocp,ablation,wide,5,4.6666666666666625,5.228129047119373,0.43329289533529786,0.025098439235806354,0.4464315403242872,0.04256286327484781,0.1249714225270658,0.0067725162386426604,0.655767339225764,0.15178021135437808,0.655767339225764,0.15178021135437808
fwdonly,fwdonly,ablation,chain,5,7.466666666666663,4.279148409568326,1.3861973999505983,0.16145278747097624,1.3618047272907914,0.14611943393933677,0.2091038488314212,0.016174483033316173,0.5255805113503706,0.1890818574797452,0.526522839293086,0.1880692933943638
fwdonly,fwdonly,ablation,default,5,9.199999999999996,5.781195570314347,1.2192706979512415,0.12246117686919679,1.1892845406011001,0.10298370480588395,0.20590673513588204,0.012339629389584881,0.4383365344601005,0.2192826545550765,0.43959946432636093,0.2183782512865966
fwdonly,fwdonly,ablation,wide,5,3.999999999999998,4.690415759823429,0.4330426359085324,0.03980735131848893,0.44018810049612933,0.04762761371016236,0.1251044506194019,0.006833514807819025,0.678408679581757,0.1211704943802456,0.678408679581757,0.1211704943802456
alloff,alloff,ablation,chain,5,11.599999999999994,5.785038173311106,1.3960003570660313,0.15416839302033242,1.3586219607084267,0.12954873906050202,0.21042466458444284,0.01270155934587903,0.3223214538633601,0.30343622927207026,0.3239738079411355,0.3021056504109981
alloff,alloff,ablation,default,5,12.13333333333333,6.331578704311342,1.233563421684336,0.11455096802166705,1.1963609249794402,0.09344788325487384,0.20975433811749364,0.012278082377359365,0.29366314145437256,0.31884793669460626,0.29532085316316314,0.3177415705252512
alloff,alloff,ablation,wide,5,4.399999999999998,4.935134806219133,0.44899933323183133,0.02951682040379357,0.4518506172060717,0.03915459113241722,0.12733569723573573,0.006341948037773442,0.6654972093752156,0.13597603534335323,0.6654972093752156,0.13597603534335323
