episode,reward,score,energy,app_timeout_rate,task_timeout_rate,curve_type
1,-1360.7691010117442,-0.44,0.3672416437958413,0.44,0.7506666666666667,training
2,-1284.105352500922,-0.3466666666666667,0.3551915621896931,0.3466666666666667,0.7486666666666667,training
3,-878.3646890182779,-0.1933333333333333,0.3160916857740942,0.1933333333333333,0.707,training
4,-817.1867720235647,-0.22,0.2828854111448204,0.22,0.7033333333333334,training
5,-666.6479205470923,-0.1533333333333333,0.2690840081215485,0.1533333333333333,0.6903333333333334,training
6,-555.5290801899912,-0.1133333333333333,0.2486829817215181,0.1133333333333333,0.6846666666666666,training
7,-494.036692899903,-0.0866666666666666,0.245000018857661,0.0866666666666666,0.6746666666666666,training
8,-403.0772501407398,-0.08,0.2301813734560576,0.08,0.6723333333333333,training
9,-395.0847899910013,-0.0866666666666666,0.2229229975113802,0.0866666666666666,0.667,training
10,-425.2573046784778,-0.0733333333333333,0.2190448687769811,0.0733333333333333,0.663,training
11,-358.43299024888705,-0.0466666666666666,0.2145474901528991,0.0466666666666666,0.6623333333333333,training
12,-334.7667917866972,-0.06,0.2093129590474888,0.06,0.655,training
13,-363.13314477257256,-0.06,0.2086109049326495,0.06,0.6566666666666666,training
14,-279.1595271849887,-0.0333333333333333,0.2049524299816127,0.0333333333333333,0.6566666666666666,training
15,-297.63094411686745,-0.0733333333333333,0.2019449300346699,0.0733333333333333,0.6573333333333333,training
16,-322.1342086073859,-0.06,0.198702739725899,0.06,0.6516666666666666,training
17,-293.8160251284843,-0.0733333333333333,0.1973491080695276,0.0733333333333333,0.653,training
18,-297.6544630264779,-0.0466666666666666,0.2057704791304822,0.0466666666666666,0.6606666666666666,training
19,-329.0457014537432,-0.0533333333333333,0.2041741600596791,0.0533333333333333,0.6593333333333333,training
20,-281.42600604616155,-0.0533333333333333,0.2022262753061947,0.0533333333333333,0.6536666666666666,training
21,-286.9905172715989,-0.0533333333333333,0.2029578330065417,0.0533333333333333,0.6543333333333333,training
22,-287.4440090904654,-0.06,0.2015844066627987,0.06,0.6573333333333333,training
23,-262.9660896520359,-0.0466666666666666,0.1991259613399071,0.0466666666666666,0.658,training
24,-281.8999235624224,-0.0866666666666666,0.1976481086469076,0.0866666666666666,0.6486666666666666,training
25,-227.43287345824103,-0.0466666666666666,0.19746477871078,0.0466666666666666,0.6503333333333333,training
26,-309.8007259789296,-0.04,0.1991515033748758,0.04,0.657,training
27,-263.298482505919,-0.0533333333333333,0.1976823773869413,0.0533333333333333,0.655,training
28,-292.44497609835724,-0.04,0.1985517770469022,0.04,0.6483333333333333,training
29,-280.1853976627731,-0.06,0.2013679852887931,0.06,0.6516666666666666,training
30,-303.7594280265653,-0.0533333333333333,0.1995549118855661,0.0533333333333333,0.6573333333333333,training
31,-322.6113693729977,-0.06,0.1992478768684278,0.06,0.6516666666666666,training
32,-273.60213761522755,-0.0466666666666666,0.1978339622052548,0.0466666666666666,0.657,training
